spec_version,arm,backend,precision,n_assets,n_select,instance,instance_digest,qaoa_seed,e1_run_id,penalty_label,penalty,p_layers,angles,f_star,delta_F,feasible_set_size,data_start,data_end,status,hamiltonian_scale,shot_seed,shot_seed_applied,batches,shots,task_arn,execution_ms,seconds,final_probs_sum,final_P_F,final_P_opt,final_P_tau_main,final_P_tau_alt,final_expected_f,final_expected_violation,final_Q_tau_main_10,final_Q_opt_10,final_Q_tau_main_100,final_Q_opt_100,final_Q_tau_main_1000,final_Q_opt_1000,final_Q_tau_main_10000,final_Q_opt_10000
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,52.55393699499583,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/183b320e-1e25-4331-9c83-3aed463a9ade,13.0,96.91667408775538,,0.17169155625674473,0.002430905148508349,0.002430905148508349,0.002430905148508349,,,0.02404484947411001,0.02404484947411001,0.21603151688575706,0.21603151688575706,0.9123027375906135,0.9123027375906135,0.9999999999730933,0.9999999999730933
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,52.55393699499583,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/eeb7e5bc-d1bc-4f7e-bc4f-a4955ba26e44,12.0,94.75707508344203,,0.009917302807928772,0.0001496150846432082,0.0001496150846432082,0.0001496150846432082,,,0.0014951439379068399,0.0014951439379068399,0.014851243918056256,0.014851243918056256,0.1389702980373847,0.1389702980373847,0.7760343934188596,0.7760343934188596
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,52.83619466974709,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/168e4a7a-7617-4a4c-870a-a56bb8f55d4c,13.0,94.96418993640691,,0.178939551718306,0.0025384735742826486,0.0025384735742826486,0.0025384735742826486,,,0.025096716790105167,0.025096716790105167,0.22444012890175002,0.22444012890175002,0.9212676348723775,0.9212676348723775,0.9999999999908477,0.9999999999908477
e4a-v1,sv1,braket_sv1,double,12,2,1,3798cace2ea7,43,N12_i01_Aheur_s43,Aheur,12.999999999983347,2,1.8320385937237138 0.00059987955034510433 -0.045127650519484704 2.9833103641215408,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,52.83619466974709,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/f803c35d-860b-4d0e-9e6f-ae33b2a7d866,25.0,94.82630321197212,,0.00993761195953237,0.00015015908573988646,0.00015015908573988646,0.00015015908573988646,,,0.0015005766147858646,0.0015005766147858646,0.014904842694292264,0.014904842694292264,0.1394386419369179,0.1394386419369179,0.7772496424436446,0.7772496424436446
e4a-v1,sv1,braket_sv1,double,16,3,0,514ae30a9bf6,42,N16_i00_Aheur_s42,Aheur,16.999999999972275,2,0.74274147571645022 1.4405996686222429 2.73269036940555 1.6581154527861004,-0.2671105968767471,1.2705106296258624,560,2023-08-06,2026-08-05,ok,85.75412863060436,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/edd6ca7f-4fdb-4e4f-b7cc-e16ba9a9f9d3,24.0,107.07653806637973,,0.3768272625237604,0.0006685235229486105,0.00200788620784121,0.004693400150543539,,,0.019898407758225822,0.006665159474522397,0.18207977482890825,0.06468761926082911,0.8659985574457665,0.4876498927679941,0.9999999981332132,0.9987535687917128
e4a-v1,sv1,braket_sv1,double,16,3,0,514ae30a9bf6,43,N16_i00_Aheur_s43,Aheur,16.999999999972275,2,1.8657604696531571 0.020894816108035355 -0.065582775811690253 2.9969708670042756,-0.2671105968767471,1.2705106296258624,560,2023-08-06,2026-08-05,ok,85.75412863060436,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/82894e64-0b65-4832-bd55-3dc8e29b1d8b,25.0,101.28427050448954,,0.000567700716714817,1.0201333632267687e-06,3.040029232432894e-06,7.019496710302211e-06,,,3.039987644792852e-05,1.0201286802180576e-05,0.0003039571809888564,0.00010200818516759025,0.003035417629453363,0.00101961372388637,0.029942895436576245,0.010149481665944315
e4a-v1,sv1,braket_sv1,double,16,3,1,f9598a6bfdd0,42,N16_i01_Aheur_s42,Aheur,16.999999999977796,2,0.74306331081002575 1.4427238507351057 2.7320187694991369 1.6574624689908404,0.13112281842114482,1.2939192012170153,560,2023-08-06,2026-08-05,ok,85.93887363468885,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/81f3b8ae-d353-4587-8f10-d15f23aaae27,24.0,102.33327129669487,,0.37734296358493397,0.0006705271372746446,0.0006705271372746446,0.002011942911165282,,,0.00668507520826267,0.00668507520826267,0.06487512654499783,0.06487512654499783,0.48867610344807244,0.48867610344807244,0.9987783103402035,0.9987783103402035
e4a-v1,sv1,braket_sv1,double,16,3,1,f9598a6bfdd0,43,N16_i01_Aheur_s43,Aheur,16.999999999977796,2,1.866648773795663 0.02149466056853867 -0.066173341255903725 2.9967322928884599,0.13112281842114482,1.2939192012170153,560,2023-08-06,2026-08-05,ok,85.93887363468885,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/58c5c869-17ee-43ec-a7c9-ff7dfc633528,24.0,103.35223484132439,,0.00053661426105244,9.502901506805473e-07,9.502901506805473e-07,2.8542472060949605e-06,,,9.502860869647911e-06,9.502860869647911e-06,9.50245451025733e-05,9.50245451025733e-05,0.0009498392190855354,0.0009498392190855354,0.009457896098495233,0.009457896098495233
e4a-v1,sv1,braket_sv1,double,20,4,0,88802fd9d289,42,N20_i00_Aheur_s42,Aheur,20.999999999965347,2,2.549594337107866 1.6837739916247021 2.8710969451053501 2.009847999970034,-0.15232144256321223,1.9296468975432697,4845,2023-08-06,2026-08-05,ok,126.8336428003847,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/23b46a81-1323-410b-b693-48510a470f31,108.0,117.25877966638654,,0.04699973801604228,9.796359780321231e-06,3.92910839683133e-05,0.000236038895781114,,,0.00039284137644357564,9.795927932554349e-05,0.003921476438817795,0.0009791610851204169,0.038529942499295866,0.009748579272256364,0.32491627504509724,0.09331852670106189
e4a-v1,sv1,braket_sv1,double,20,4,0,88802fd9d289,43,N20_i00_Aheur_s43,Aheur,20.999999999965347,2,1.9005516930172133 0.044325096520901372 -0.084808062314613838 2.9987411652124991,-0.15232144256321223,1.9296468975432697,4845,2023-08-06,2026-08-05,ok,126.8336428003847,,,10,1000,arn:aws:braket:us-east-1:000000000000:quantum-task/ede0adbf-4df0-450d-95fb-09e0c2bc91e8,110.0,115.29355016443878,,0.00424039151782412,8.714642327764908e-07,3.4859580532491958e-06,2.0905236361167513e-05,,,3.4859033701595266e-05,8.714608152549097e-06,0.00034853566024839466,8.714266410758675e-05,0.003479895210287798,0.0008710849974982171,0.03425904310167838,0.00867678366229252
